Date, Time, Weight(kg),BMI,Body Fat(%),Skeletal Muscle(%),Fat-Free Mass(kg),Subcutaneous Fat(%),Visceral Fat,Body Water(%),Muscle Mass(kg),Bone Mass(kg),Protein (%),BMR(kcal),Metabolic Age,Optimal Weight(kg),Target to optimal weight(kg),Target to optimal fat mass(kg),Target to optimal muscle mass(kg),Body Type,Remarks
02/04/2026,05:23:48,86.95,29.1,30.9,44.5,60.08,27.2,12,49.9,57.04,3.04,15.8,1683,54,--, --, --, --, --, --
01/04/2026,05:16:10,87.05,29.1,30.9,44.5,60.15,27.2,12,49.9,57.10,3.05,15.8,1687,54,--, --, --, --, --, --
